id,x,y,z
M1,85.332321,63.226555,80.982033
M2,-46.572914,90.921539,74.616386
M3,58.130291,7.950387,111.734833
M4,-42.880077,18.643692,104.234932
M5,27.542246,51.154346,123.219444
M6,-0.301830,-3.796798,124.028595
